,index,F-score,p-value
0,131throw_185thcolumn,39.01094446776027,5.822705093165816e-10
1,152throw_184thcolumn,33.78663781519723,7.857024280746925e-09
2,131throw_189thcolumn,32.4689531788929,1.5195780959328484e-08
3,57throw_189thcolumn,30.669049748875743,3.749940211269667e-08
4,164throw_189thcolumn,29.588229809737786,6.459198271942132e-08
5,184throw_185thcolumn,29.57392893303868,6.505884079489231e-08
6,131throw_170thcolumn,28.84446029767608,9.396230203181727e-08
7,76throw_131thcolumn,27.75795943494844,1.6260667709471108e-07
8,87throw_172thcolumn,27.591101530553154,1.769133972601855e-07
9,131throw_191thcolumn,27.308837888637296,2.0405135018061194e-07
10,80throw_185thcolumn,27.270505538522645,2.0804583219136606e-07
11,76throw_184thcolumn,26.291016188989463,3.41599210396336e-07
12,42throw_184thcolumn,26.273622231076573,3.4462363089288015e-07
13,75throw_131thcolumn,26.163332234337812,3.644363461848136e-07
14,75throw_80thcolumn,25.90149530051047,4.1617719365070373e-07
15,63throw_131thcolumn,25.743844174211617,4.508251895473734e-07
16,131throw_194thcolumn,25.643936855343014,4.7426737735991297e-07
17,31throw_171thcolumn,25.28174258707448,5.699980426739672e-07
18,131throw_184thcolumn,25.239017630143007,5.825009524727822e-07
19,131throw_179thcolumn,25.23628447448688,5.833100846116319e-07
20,131throw_181thcolumn,25.197742887098073,5.948409747606638e-07
21,191throw_197thcolumn,23.464347419531823,1.4371199587791102e-06
22,172throw_188thcolumn,23.392599956940025,1.4906720263347306e-06
23,75throw_185thcolumn,23.336981801222915,1.53356095271917e-06
24,131throw_193thcolumn,23.259255283582235,1.5955832992120082e-06
25,180throw_195thcolumn,23.159354301881777,1.679015724457137e-06
26,82throw_172thcolumn,22.683633648740045,2.1405897368917443e-06
27,78throw_184thcolumn,22.394005714642205,2.4820486685297294e-06
28,152throw_186thcolumn,22.2305907472794,2.698342122540491e-06
29,24throw_145thcolumn,22.228300283617894,2.701504658875875e-06
30,34throw_131thcolumn,22.028813461051186,2.9917309780222444e-06
31,84throw_172thcolumn,21.992287602711347,3.0481708660218415e-06
32,114throw_159thcolumn,21.87957276139829,3.2291743515263786e-06
33,167throw_184thcolumn,21.52796550121001,3.866219702703267e-06
34,48throw_131thcolumn,21.459544481855982,4.00415719721961e-06
35,31throw_42thcolumn,21.212065864333848,4.545703390335992e-06
36,89throw_91thcolumn,21.13748280553679,4.722921003414905e-06
37,75throw_189thcolumn,20.969861279314628,5.146972622092374e-06
38,145throw_184thcolumn,20.92989693940477,5.25360251560012e-06
39,42throw_75thcolumn,20.92145538446436,5.276408191691857e-06
40,87throw_185thcolumn,20.71752056495093,5.858651179879333e-06
41,42throw_57thcolumn,20.716154746296073,5.862760880840965e-06
42,98throw_183thcolumn,20.526639709475457,6.4620431693831625e-06
43,83throw_192thcolumn,20.332539289256307,7.13975082595066e-06
44,79throw_184thcolumn,20.18894678875195,7.686710864204292e-06
45,63throw_75thcolumn,20.09401648164866,8.071256331588401e-06
46,91throw_190thcolumn,19.95838257571595,8.65449780435079e-06
47,70throw_91thcolumn,19.953506319769307,8.676237857326125e-06
48,75throw_159thcolumn,19.92342401409179,8.811574985197022e-06
49,141throw_184thcolumn,19.918078637931266,8.835844450069276e-06
50,158throw_191thcolumn,19.887320682974764,8.976805901989989e-06
51,62throw_70thcolumn,19.80539056143932,9.363419905424566e-06
52,35throw_131thcolumn,19.71244378645149,9.822336223292177e-06
53,131throw_172thcolumn,19.6564602783028,1.0109596952665413e-05
54,150throw_184thcolumn,19.655178785654094,1.011627049171343e-05
55,133throw_182thcolumn,19.605502580134946,1.037840913887985e-05
56,145throw_189thcolumn,19.604932275189565,1.038145793738332e-05
57,96throw_184thcolumn,19.6025162872882,1.0394383582761688e-05
58,133throw_171thcolumn,19.594391182669145,1.0437972121624383e-05
59,70throw_149thcolumn,19.507156427676552,1.0917701125905576e-05
60,78throw_80thcolumn,19.420497253401418,1.1416223548762989e-05
61,48throw_59thcolumn,19.258842140713096,1.2408191229388956e-05
62,78throw_158thcolumn,19.233909794041516,1.2568720296985765e-05
63,72throw_171thcolumn,19.1690155204006,1.2996411329608121e-05
64,65throw_69thcolumn,19.136951868340105,1.3213102703362298e-05
65,39throw_131thcolumn,19.13415119829269,1.3232201799842597e-05
66,131throw_167thcolumn,18.914445432218876,1.482037726090427e-05
67,149throw_189thcolumn,18.904152281921608,1.4899316463536534e-05
68,80throw_184thcolumn,18.820184212048165,1.5559280173044447e-05
69,139throw_197thcolumn,18.800555656646626,1.5717748823281417e-05
70,61throw_151thcolumn,18.799539062357603,1.57260002502628e-05
71,131throw_188thcolumn,18.67010382909955,1.6813001262715874e-05
72,24throw_144thcolumn,18.627308063394455,1.718878330583321e-05
73,40throw_131thcolumn,18.53101947246216,1.8065466178597922e-05
74,30throw_78thcolumn,18.458689603683812,1.8753483729257457e-05
75,172throw_190thcolumn,18.420832225644507,1.9124040663770103e-05
76,133throw_137thcolumn,18.387075995360497,1.946066394311463e-05
77,120throw_121thcolumn,18.29639625391648,2.0394757337420493e-05
78,78throw_131thcolumn,18.267417281926345,2.0702682299948693e-05
79,28throw_94thcolumn,18.2371405035213,2.102939604232173e-05
80,99throw_167thcolumn,18.02817043393909,2.3430402853624426e-05
81,42throw_56thcolumn,17.95838295992477,2.4292222347170627e-05
82,152throw_189thcolumn,17.939295509697853,2.4533444749552985e-05
83,60throw_75thcolumn,17.86764970061167,2.5460593061756344e-05
84,73throw_133thcolumn,17.85732084677079,2.559713352951149e-05
85,25throw_131thcolumn,17.82253452054934,2.6062429003025347e-05
86,42throw_58thcolumn,17.762951846974552,2.687926091855441e-05
87,76throw_80thcolumn,17.61251581732428,2.905815620687652e-05
88,96throw_189thcolumn,17.507524133333174,3.06833793170217e-05
89,135throw_171thcolumn,17.41415370615974,3.2205445126736246e-05
90,78throw_79thcolumn,17.38092951403518,3.276519025695441e-05
91,78throw_188thcolumn,17.373052225751874,3.289933297960765e-05
92,27throw_104thcolumn,17.21542023498595,3.5702994345934514e-05
93,131throw_146thcolumn,17.170588651520145,3.654345618207475e-05
94,16throw_19thcolumn,17.1441678615917,3.704806850900313e-05
95,30throw_76thcolumn,17.125879946558694,3.7401453351052604e-05
96,6throw_148thcolumn,17.09083521195795,3.8088147984653806e-05
97,22throw_148thcolumn,17.070678829241093,3.848884381430018e-05
98,75throw_172thcolumn,17.03361657801527,3.923672742652773e-05
99,81throw_172thcolumn,16.988389769893207,4.016921676960328e-05
100,91throw_196thcolumn,16.978523247790633,4.037559220308263e-05
101,12throw_69thcolumn,16.93169501631151,4.136973865298082e-05
102,97throw_189thcolumn,16.886420957621223,4.235432101292456e-05
103,156throw_157thcolumn,16.716678952121942,4.626051929217695e-05
104,47throw_48thcolumn,16.70100197206366,4.663910086056951e-05
105,74throw_131thcolumn,16.68496771293825,4.702953801906182e-05
